Place;Date;Page;Sector;Country Code;Year;Latitude;Longitude;Country;Region;Region District
Líšťany (Louny);;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Líšťany (Plzeň-sever);;16;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Litava;2018-07-01;49;B;SK;2018;48,29878;19,17939;Slovakia;Banskobystrický kraj;okres Krupina
Liteň;;8;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Litenčice;;22;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Litice nad Orlicí;;11;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Litmanová;2022-07-09;27;D;SK;2022;49,3705934;20,6229713;Slovensko;Prešovský kraj;okres Stará Ľubovňa
Litobratřice;;35;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Litohlavy;;17;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Litohoř;2023-05-01;34;B;CZ;2023;#N/A;#N/A;#N/A;#N/A;#N/A
Litol;;9;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Litoměřice;;8;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Litomyšl;1994-01-01;21;A;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Lítov;;5;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Litovel;2026-05-24;22;B;CZ;2026;#N/A;#N/A;#N/A;#N/A;#N/A
Litultovice;2022-04-16;23;B;CZ;2022;#N/A;#N/A;#N/A;#N/A;#N/A
Litvínov;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Livov;2020-08-08;28;D;SK;2020;49,2508036;21,0884714;Slovensko;Prešovský kraj;okres Bardejov
Livovská Huta;2020-08-08;28;D;SK;2020;49,2439631;21,0329684;Slovensko;Prešovský kraj;okres Bardejov
Lnáře;;17;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lobendava;;2;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lobodice;;22;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Loděnice (Beroun);;8;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Loděnice (Znojmo);;35;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lodhéřov;;19;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lochenice;;10;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lochkov;;8;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lochovice;;18;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lok;1994-01-01;48;C;SK;1994;48,1836272;18,4592246;Slovensko;Nitriansky kraj;okres Levice
Lokca;1994-01-01;26;C;SK;1994;49,3665668;19,4103479;Slovensko;Žilinský kraj;okres Námestovo
Loket;;6;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lom;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lom nad Rimavicou;;40;C;SK;1899;48,6423554;19,6465852;Slovensko;Banskobystrický kraj;okres Brezno
Lomnice (Blansko);;21;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lomnice (Bruntál);;23;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lomnice (Sokolov);;6;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lomnice nad Lužnicí;1994-01-01;33;A;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Lomnice nad Popelkou;;10;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lontov;;49;A;SK;1899;48,0424303;18,7771597;Slovensko;Nitriansky kraj;okres Levice
Lopej;1994-01-01;40;A;SK;1994;48,8145985;19,4980361;Slovensko;Banskobystrický kraj;okres Brezno
Lopeník;;37;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lorinčík;2021-05-22;42;D;SK;2021;48,6886069;21,1921169;Slovensko;Košický kraj;
Losina;;17;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Loštice;2026-05-24;22;A;CZ;2026;#N/A;#N/A;#N/A;#N/A;#N/A
Loučany;;22;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Loučeň;;9;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Loučka (Nový Jičín);;23;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Loučka (Přerov);;23;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Loučná;;6;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Loučná nad Desnou;2018-07-01;12;D;CZ;2018;#N/A;#N/A;#N/A;#N/A;#N/A
Loučovice;2024-03-30;32;C;CZ;2024;#N/A;#N/A;#N/A;#N/A;#N/A
Louka (Hodonín);;37;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Louka (Znojmo);;35;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Loukov;;23;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Louky (Gottwaldov);;23;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Louky (Karviná);;24;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Louňovice pod Blaníkem;;19;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Louny;1994-01-01;7;B;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Loužnice;;4;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lovce;2018-07-01;38;D;SK;2018;48,4453931;18,3633964;Slovensko;Nitriansky kraj;okres Zlaté Moravce
Lovča;;39;C;SK;1899;48,5721894;18,8139228;Slovensko;Banskobystrický kraj;okres Žiar nad Hronom
Lovčica;1994-01-01;39;C;SK;1994;48,6190129;18,7936807;Slovensko;Banskobystrický kraj;okres Žiar nad Hronom
Lovčice (Hodonín);;36;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lovčice (Hradec Králové);1994-01-01;10;C;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Lovčice (Klatovy);;17;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Dolné Lovčice (Trnava);;47;B;SK;1899;48,3665725;17,6768395;Slovensko;Trnavský kraj;okres Trnava
Lovečkovice;;8;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lovinobaňa;2018-07-01;40;C;SK;2018;48,4384497;19,5908581;Slovensko;Banskobystrický kraj;okres Lučenec
Lovosice;1994-01-01;8;A;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Loza;;7;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lozice;;11;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lozorno;1994-01-01;46;B;SK;1994;48,3346371;17,0444471;Slovensko;Bratislavský kraj;okres Malacky
Ložín;;43;D;SK;1899;48,6608699;21,8365915;Slovensko;Košický kraj;okres Michalovce
Lštění;;16;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ľubá;1994-01-01;48;D;SK;1994;47,8504902;18,5958464;Slovensko;Nitriansky kraj;okres Nové Zámky
Ľubela;1994-01-01;40;A;SK;1994;49,0508938;19,4818972;Slovensko;Žilinský kraj;okres Liptovský Mikuláš
Lubenec;;7;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lubeník;1995-08-13;41;C;SK;1995;48,6557161;20,1945771;Slovensko;Banskobystrický kraj;okres Revúca
Ľubica;1994-01-01;27;D;SK;1994;49,1195968;20,4475831;Slovensko;Prešovský kraj;okres Kežmarok
Ľubietová;1994-01-01;40;C;SK;1994;48,746056;19,3632502;Slovensko;Banskobystrický kraj;okres Banská Bystrica
Lubina (Nový Jičín);;24;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lubina (Trenčín);2003-12-14;37;B;SK;2003;48,7840784;17,7356086;Slovensko;Trenčiansky kraj;okres Nové Mesto nad Váhom
Ľubiša;;43;B;SK;1899;49,0057438;21,9489461;Slovensko;Prešovský kraj;okres Humenné
Lublice;;23;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lubná (Kroměříž);;23;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lubná (Rakovník);;7;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lubná (Svitavy);;21;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lubno;;10;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ľubochňa;1994-01-01;39;B;SK;1994;49,1200064;19,1675231;Slovensko;Žilinský kraj;okres Ružomberok
Ľuborča;2026-08-22;38;A;SK;2026;48,9928743;18,059772;Slovensko;Trenčiansky kraj;okres Trenčín
Ľuboreč;2002-09-28;50;A;SK;2002;48,3103334;19,5166495;Slovensko;Banskobystrický kraj;okres Lučenec
Ľuboriečka;;50;A;SK;1899;48,2614368;19,5266785;Slovensko;Banskobystrický kraj;okres Veľký Krtíš
Ľubotín;1994-01-01;28;C;SK;1994;49,2612902;20,8762882;Slovensko;Prešovský kraj;okres Stará Ľubovňa
Luby (Cheb);;5;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Luby (Klatovy);;16;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lúč na Ostrove;2025-08-02;47;C;SK;2025;47,9754375;17,5224297;Slovensko;Trnavský kraj;okres Dunajská Streda
Lučany nad Nisou;2009-05-08;3;B;CZ;2009;#N/A;#N/A;#N/A;#N/A;#N/A
Lučatín;1994-01-01;39;B;SK;1994;48,783208;19,3193153;Slovensko;Banskobystrický kraj;okres Banská Bystrica
Lučenec;1994-01-01;50;B;SK;1994;48,3303886;19,6634149;Slovensko;Banskobystrický kraj;okres Lučenec
Lučice;;20;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lučina;;15;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lučivná;1994-01-01;41;A;SK;1994;49,0517953;20,1434582;Slovensko;Prešovský kraj;okres Poprad
Lučkovice;;18;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lúčky;1994-01-01;40;A;SK;1994;48,7685043;22,0420818;Slovensko;Košický kraj;okres Michalovce
Lúčky - kúpele;1994-01-01;26;C;SK;1994;49,1343217;19,3979823;Slovensko;Žilinský kraj;okres Ružomberok
Lúčnica nad Žitavou;2023-08-19;48;A;SK;2023;48,2107641;18,2837974;Slovensko;Nitriansky kraj;okres Nitra
Ludanice;;38;C;SK;1899;48,4980274;18,1181469;Slovensko;Nitriansky kraj;okres Topoľčany
Ludéřov;;22;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ludgeřovice;2018-07-01;24;A;CZ;2018;#N/A;#N/A;#N/A;#N/A;#N/A
Ludkovice;;37;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ludrová;1994-01-01;39;B;SK;1994;49,0466665;19,3318373;Slovensko;Žilinský kraj;okres Ružomberok
Ludslavice;;23;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ludvíkovice;;2;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Luhačovice;2017-09-01;37;B;CZ;2017;#N/A;#N/A;#N/A;#N/A;#N/A
Luka;;6;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Luká;;22;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Luka nad Jihlavou;;20;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lukáčovce;;37;D;SK;1899;48,3949751;17,9386282;Slovensko;Nitriansky kraj;okres Nitra
Lukavec;;19;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lukavec u Hořic;;10;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lukavica (Bardejov);2020-07-21;28;D;SK;2020;49,2607281;21,3265995;Slovensko;Prešovský kraj;okres Bardejov
Lukavica (Zvolen);1994-01-01;39;D;SK;1994;48,6414304;19,2072508;Slovensko;Banskobystrický kraj;okres Zvolen
Lukavice (Rychnov nad Kněžnou);;11;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lukavice (Ústí nad Orlicí);;11;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lukavice-Výsonín;;20;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lukov (Bardejov);2020-08-08;28;D;SK;2020;49,2920382;21,0809753;Slovensko;Prešovský kraj;okres Bardejov
Lukov (Gottwaldov);;23;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lukov (Třebíč);;34;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lukov (Znojmo);;34;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Luková;;21;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lukovištia;1994-01-01;41;C;SK;1994;48,4922911;20,0248156;Slovensko;Banskobystrický kraj;okres Rimavská Sobota
Lúky;1994-01-01;24;C;SK;1994;49,189758;18,2277325;Slovensko;Trenčiansky kraj;okres Púchov
Luleč;2019-09-05;22;C;CZ;2019;#N/A;#N/A;#N/A;#N/A;#N/A
Lupoč;1994-01-01;50;A;SK;1994;48,3608017;19,5391857;Slovensko;Banskobystrický kraj;okres Lučenec
Luštěnice;;9;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lutila;1994-01-01;39;C;SK;1994;48,6146138;18,8416926;Slovensko;Banskobystrický kraj;okres Žiar nad Hronom
Lutín;;22;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ľutina;2020-08-09;28;D;SK;2020;49,1666204;21,0493222;Slovensko;Prešovský kraj;okres Sabinov
Lutiše;1994-01-01;25;C;SK;1994;49,2937547;18,9556005;Slovensko;Žilinský kraj;okres Žilina
Ľutov;2018-07-01;38;A;SK;2018;48,7768567;18,2806355;Slovensko;Trenčiansky kraj;okres Bánovce nad Bebravou
Lužany (Jičín);;10;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lužany (Plzeň-jih);1995-07-31;17;A;CZ;1995;#N/A;#N/A;#N/A;#N/A;#N/A
Lužany (Topoľčany);2000-07-19;38;C;SK;2000;48,51554;18,0142158;Slovensko;Nitriansky kraj;okres Topoľčany
Luže;;21;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lužec nad Cidlinou;;10;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lužec nad Vltavou;;8;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lužianky;2018-07-01;48;A;SK;2018;48,3444905;18,0282239;Slovensko;Nitriansky kraj;okres Nitra
Lužice;1997-06-03;36;B;CZ;1997;#N/A;#N/A;#N/A;#N/A;#N/A
Lužná (Rakovník);;7;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lužná (Vsetín);1994-01-01;24;C;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Lvová;;3;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lysá nad Dunajcom;1994-01-01;27;C;SK;1994;49,4002221;20,3413153;Slovensko;Prešovský kraj;okres Kežmarok
Lysá nad Labem;;9;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lysá pod Makytou;1994-01-01;24;C;SK;1994;49,196487;18,1965649;Slovensko;Trenčiansky kraj;okres Púchov
Lysice;;21;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Lysolaje;;8;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Mackovice;;35;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Madačka;1994-01-01;40;C;SK;1994;48,4266466;19,4129055;Slovensko;Banskobystrický kraj;okres Lučenec
Madunice;1994-01-01;37;D;SK;1994;48,4791862;17,7821882;Slovensko;Trnavský kraj;okres Hlohovec
Machnín;;3;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Machov;;11;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Machulince;2018-07-01;38;D;SK;2018;48,4127548;18,4321845;Slovensko;Nitriansky kraj;okres Zlaté Moravce
Majcichov;2018-07-01;47;A;SK;2018;48,2866563;17,6285478;Slovensko;Trnavský kraj;okres Trnava
Majdalena;1994-01-01;33;A;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Majetín;;22;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Makov (Čadca);1994-01-01;24;D;SK;1994;49,3695054;18,4745656;Slovensko;Žilinský kraj;okres Čadca
Makov (Svitavy);;21;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Makovce;2020-06-19;29;D;SK;2020;49,2579679;21,7520253;Slovensko;Prešovský kraj;okres Stropkov
Malá Čausa;2018-09-01;39;A;SK;2018;48,7994787;18,7008115;Slovensko;Trenčiansky kraj;okres Prievidza
Malá Hradná;2003-12-30;38;C;SK;2003;48,7590012;18,163626;Slovensko;Trenčiansky kraj;okres Bánovce nad Bebravou
Malá Hraštice;;18;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malá Lehota;2018-07-01;38;D;SK;2018;48,4991743;18,5730536;Slovensko;Banskobystrický kraj;okres Žarnovica
Malá Lodina;1994-01-01;42;B;SK;1994;48,8790107;21,1309859;Slovensko;Košický kraj;okres Košice - okolie
Malá Losenice;;20;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malá Maňa;2023-08-19;48;A;SK;2023;48,1446143;18,2649526;Slovensko;Nitriansky kraj;okres Nové Zámky
Malá Morava;;12;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malá Morávka;;12;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malá nad Hronom;1994-01-01;49;C;SK;1994;47,8547884;18,6795793;Slovensko;Nitriansky kraj;okres Nové Zámky
Malá Skála;;9;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malá Úpa;;4;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malá Veleň;;2;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malá Vieska;;42;B;SK;1899;48,8002563;21,2494415;Slovensko;Košický kraj;okres Košice - okolie
Malacky;1994-01-01;36;D;SK;1994;48,4362992;17,0200447;Slovensko;Bratislavský kraj;okres Malacky
Malachov;1994-01-01;39;D;SK;1994;48,7098421;19,0841059;Slovensko;Banskobystrický kraj;okres Banská Bystrica
Maláš;1994-01-01;48;B;SK;1994;48,05288;18,52677;Slovakia;Nitriansky kraj;okres Levice
Malatiná;1997-08-21;26;C;SK;1997;49,185823;19,4324205;Slovensko;Žilinský kraj;okres Dolný Kubín
Malčice;;43;D;SK;1899;48,5787381;21,8515883;Slovensko;Košický kraj;okres Michalovce
Malé Bedzany;2018-07-01;38;C;SK;2018;48,5921109;18,1779331;Slovensko;Nitriansky kraj;okres Topoľčany
Malé Heraltice;;13;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malé Hradisko;;22;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malé Chyndice;2023-08-19;48;A;SK;2023;48,3022462;18,286295;Slovensko;Nitriansky kraj;okres Nitra
Malé Kosihy;1994-01-01;49;C;SK;1994;47,9250999;18,7502811;Slovensko;Nitriansky kraj;okres Nové Zámky
Malé Kozmálovce;1994-01-01;48;B;SK;1994;48,2732717;18,5099688;Slovensko;Nitriansky kraj;okres Levice
Malé Lednice;1994-01-01;38;B;SK;1994;49,0690242;18,5727761;Slovensko;Trenčiansky kraj;okres Považská Bystrica
Malé Leváre;1998-06-01;36;C;SK;1998;48,502179;16,9704745;Slovensko;Bratislavský kraj;okres Malacky
Malé Ludince;1994-01-01;49;C;SK;1994;47,9869206;18,6992786;Slovensko;Nitriansky kraj;okres Levice
Malé Ozorovce;;43;C;SK;1899;48,6820641;21,6139675;Slovensko;Košický kraj;okres Trebišov
Malé Poříčí;;11;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malé Ripňany;2018-07-01;37;D;SK;2018;48,4766772;17,9858589;Slovensko;Nitriansky kraj;okres Topoľčany
Malé Straciny;;50;A;SK;1899;48,2096274;19,4141923;Slovensko;Banskobystrický kraj;okres Veľký Krtíš
Malé Svatoňovice;;11;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malé Trakany;;44;C;SK;1899;48,3988655;22,1071882;Slovensko;Košický kraj;okres Trebišov
Malé Uherce;2000-07-19;38;D;SK;2000;48,6205112;18,4028993;Slovensko;Trenčiansky kraj;okres Partizánske
Malé Vozokany;1994-01-01;48;B;SK;1994;48,3094011;18,3987738;Slovensko;Nitriansky kraj;okres Zlaté Moravce
Malé Zlievce;;50;A;SK;1899;48,1806359;19,4449215;Slovensko;Banskobystrický kraj;okres Veľký Krtíš
Maleč;;20;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malečov;;8;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malenice;;17;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malenovice;;23;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malešov;;9;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malešovice;;35;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Maletín;;22;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malhostovice;;21;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malíkovice;;8;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malín;;10;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Málinec;2019-06-22;40;D;SK;2019;48,4973094;19,6808112;Slovensko;Banskobystrický kraj;okres Poltár
Malinová;;38;B;SK;1899;48,8543865;18,6147126;Slovensko;Trenčiansky kraj;okres Prievidza
Malinovo;2018-07-01;46;B;SK;2018;48,1548604;17,2963896;Slovensko;Bratislavský kraj;okres Senec
Málkov;;7;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malonty;;32;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malšice;;18;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malšova Lhota;;10;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malšovice;;2;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malužiná;1994-01-01;40;B;SK;1994;48,9806231;19,7693966;Slovensko;Žilinský kraj;okres Liptovský Mikuláš
Malý Bor;;17;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malý Čepčín;1994-01-01;39;A;SK;1994;48,9027596;18,8391483;Slovensko;Žilinský kraj;okres Turčianske Teplice
Malý Horeš;;43;D;SK;1899;48,3975924;21,9497261;Slovensko;Košický kraj;okres Trebišov
Malý Krtíš;;50;A;SK;1899;48,1906192;19,3535768;Slovensko;Banskobystrický kraj;okres Veľký Krtíš
Malý Lipník;2022-07-10;28;C;SK;2022;49,3373174;20,7995614;Slovensko;Prešovský kraj;okres Stará Ľubovňa
Malý Šariš;1994-01-01;42;B;SK;1994;49,0087137;21,1822968;Slovensko;Prešovský kraj;okres Prešov
Málý Újezd;;8;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Malženice;2018-09-01;37;C;SK;2018;48,4512092;17,6780702;Slovensko;Trnavský kraj;okres Trnava
Manětín;;6;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Mankovce;2018-07-01;38;C;SK;2018;48,4277566;18,3263707;Slovensko;Nitriansky kraj;okres Zlaté Moravce
Mankovice;;23;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Maňa;2023-08-19;48;A;SK;2023;48,1486687;18,2766196;Slovensko;Nitriansky kraj;okres Nové Zámky
Marcelová;1994-01-01;48;C;SK;1994;47,7912423;18,2839913;Slovensko;Nitriansky kraj;okres Komárno
Margecany;1994-01-01;42;B;SK;1994;48,8939972;21,0124715;Slovensko;Košický kraj;okres Gelnica
Marhaň;2020-06-17;29;C;SK;2020;49,1687586;21,4504476;Slovensko;Prešovský kraj;okres Bardejov
Marianka;1994-01-01;46;B;SK;1994;48,2477922;17,0577765;Slovensko;Bratislavský kraj;okres Malacky
Mariánské Lázně;;6;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Mariánský Týnec;;7;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Markušovce;1994-01-01;41;B;SK;1994;48,9154341;20,6233841;Slovensko;Košický kraj;okres Spišská Nová Ves
Markvarec;;33;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Markvartice (Děčín);;2;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Markvartice (Jičín);;9;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Markvartice (Jihlava);2021-09-10;20;C;CZ;2021;#N/A;#N/A;#N/A;#N/A;#N/A
Markvartovice;;24;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Maršov (Brno-venkov);;21;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Maršov (Tábor);;18;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Maršovice;;18;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Martin;1994-01-01;39;A;SK;1994;49,0724921;18,929193;Slovensko;Žilinský kraj;okres Martin
Martin nad Žitavou;2018-07-01;38;D;SK;2018;48,3966168;18,3550164;Slovensko;Nitriansky kraj;okres Zlaté Moravce
Martiněves;;8;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Martinice (Kroměříž);;23;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Martinice (Semily);;10;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Martínkovice;;11;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Martinov;;24;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Martinová;;51;A;SK;1899;48,2983976;20,1716422;Slovensko;Banskobystrický kraj;okres Rimavská Sobota
Martovce;;48;C;SK;1899;47,8566034;18,1257377;Slovensko;Nitriansky kraj;okres Komárno
Marušová;1994-01-01;48;B;SK;1994;48,2360365;18,5211257;Slovensko;Nitriansky kraj;okres Levice
Mašková;2019-10-10;50;A;SK;2019;48,3335285;19,5639354;Slovensko;Banskobystrický kraj;okres Lučenec
Mašovice;2004-05-23;34;B;CZ;2004;#N/A;#N/A;#N/A;#N/A;#N/A
Mašťov;;7;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Matejovce (Poprad);1994-01-01;41;A;SK;1994;49,0815681;20,3273096;Slovensko;Prešovský kraj;okres Poprad
Matejovce (Spišská Nová Ves);1994-01-01;42;A;SK;1994;48,916377;20,6699382;Slovensko;Košický kraj;okres Spišská Nová Ves
Matějovec;;33;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Matiaška;2026-06-02;43;A;SK;2026;49,0613918;21,5820525;Slovensko;Prešovský kraj;okres Vranov nad Topľou
Matiašovce;1994-01-01;27;C;SK;1994;48,9362182;21,7458667;Slovensko;Prešovský kraj;okres Vranov nad Topľou
Matúškovo;2019-06-09;47;B;SK;2019;48,1666667;17,7333333;Slovensko;Trnavský kraj;okres Galanta
